Tract,PAV,SAV,TotalPopulation
23212,573,340,3984
23213,907,556,6797
23214,978,658,6264
23303,747,458,6900
23306,962,507,7161
23309,1325,754,9596
23310,1253,878,9469
23311,575,307,4937
23312,1060,667,10131
23313,739,483,5579
23314,872,444,5801
23315,699,375,5489
23316,1165,636,7992
23410,494,356,4165
23411,523,284,4282
23412,658,338,5648
23413,465,214,3788
23414,707,414,6571
23416,1036,678,6811
23418,2723,1851,18039
23419,1341,776,10254
23421,1101,838,8287
23422,664,458,5705
23423,1100,684,7820
23424,713,439,5730
23425,757,425,5076
23426,494,254,4767
23427,328,231,2763
23428,1409,960,9758
23501,409,230,3419
23504,265,159,3536
23505,331,195,2876
23506,765,402,6474
23507,461,241,4098
23601,470,270,3092
23602,334,182,2349
23603,446,244,3696
23700,816,542,6211
23801,752,532,4027
23802,690,432,4599
23803,810,451,5844
